text1,age_bin,trial,image1,image2,image3,image4
acorn,4,1,0.8461538461538461,0.057692307692307696,0.0673076923076923,0.028846153846153848
acorn,7,1,0.9146341463414634,0.036585365853658534,0.024390243902439025,0.024390243902439025
acorn,10,1,0.9298245614035088,0.02631578947368421,0.017543859649122806,0.02631578947368421
acorn,25,1,1,0,0,0
aloe,4,2,0.21568627450980393,0.2549019607843137,0.3137254901960784,0.21568627450980393
aloe,7,2,0.34523809523809523,0.08333333333333333,0.38095238095238093,0.19047619047619047
aloe,10,2,0.48717948717948717,0.10897435897435898,0.28205128205128205,0.12179487179487179
aloe,25,2,0.8472222222222222,0.027777777777777776,0.1111111111111111,0.013888888888888888
antenna,4,3,0.42,0.38,0.09,0.11
antenna,7,3,0.5294117647058824,0.27058823529411763,0.03529411764705882,0.16470588235294117
antenna,10,3,0.7372262773722628,0.15328467153284672,0.051094890510948905,0.058394160583941604
antenna,25,3,0.9838709677419355,0.016129032258064516,0,0
artichoke,4,4,0.4563106796116505,0.1553398058252427,0.1650485436893204,0.22330097087378642
artichoke,7,4,0.6774193548387096,0.16129032258064516,0.03225806451612903,0.12903225806451613
artichoke,10,4,0.504,0.184,0.072,0.24
artichoke,25,4,0.9545454545454546,0.030303030303030304,0,0.015151515151515152
bamboo,4,5,0.6907216494845361,0.08247422680412371,0.1134020618556701,0.1134020618556701
bamboo,7,5,0.8857142857142857,0.01904761904761905,0.047619047619047616,0.047619047619047616
bamboo,10,5,0.912,0.016,0.032,0.04
bamboo,25,5,0.9759036144578314,0.012048192771084338,0.012048192771084338,0
barrel,4,6,0.6236559139784946,0.15053763440860216,0.11827956989247312,0.10752688172043011
barrel,7,6,0.8271604938271605,0.07407407407407407,0,0.09876543209876543
barrel,10,6,0.8111888111888111,0.03496503496503497,0.04895104895104895,0.1048951048951049
barrel,25,6,0.9642857142857143,0.017857142857142856,0,0.017857142857142856
blender,4,7,0.7916666666666666,0.052083333333333336,0.09375,0.0625
blender,7,7,0.8888888888888888,0.044444444444444446,0.044444444444444446,0.022222222222222223
blender,10,7,0.9538461538461539,0.03076923076923077,0.007692307692307693,0.007692307692307693
blender,25,7,0.9838709677419355,0,0.016129032258064516,0
blower,4,8,0.7083333333333334,0.15625,0.0625,0.07291666666666667
blower,7,8,0.7674418604651163,0.12790697674418605,0.08139534883720931,0.023255813953488372
blower,10,8,0.7734375,0.1484375,0.0625,0.015625
blower,25,8,0.9104477611940298,0.029850746268656716,0.04477611940298507,0.014925373134328358
bobsled,4,9,0.4,0.4,0.1,0.1
bobsled,7,9,0.2653061224489796,0.4489795918367347,0.16326530612244897,0.12244897959183673
bobsled,10,9,0.2689655172413793,0.5862068965517241,0.09655172413793103,0.04827586206896552
bobsled,25,9,0.7432432432432432,0.25675675675675674,0,0
