image1,image2,image3,image4,text1
images/acorn.jpg,images/coconut.jpg,images/key.jpg,images/clothesline.jpg,acorn
images/aloe.jpg,images/cactus.jpg,images/bracket.jpg,images/banner.jpg,aloe
images/antenna.jpg,images/stem.jpg,images/pinecone.jpg,images/backgammon.jpg,antenna
images/artichoke.jpg,images/leek.jpg,images/sunroof.jpg,images/cello.jpg,artichoke
images/bamboo.jpg,images/lumber.jpg,images/yacht.jpg,images/apron.jpg,bamboo
images/barrel.jpg,images/bucket.jpg,images/shelf.jpg,images/anteater.jpg,barrel
images/blender.jpg,images/blind.jpg,images/mailbox.jpg,images/trampoline.jpg,blender
images/blower.jpg,images/burner.jpg,images/buggy.jpg,images/papaya.jpg,blower
images/bobsled.jpg,images/sidecar.jpg,images/dip.jpg,images/cilantro.jpg,bobsled
images/bouquet.jpg,images/centerpiece.jpg,images/bandanna.jpg,images/submarine.jpg,bouquet
images/buffet.jpg,images/counter.jpg,images/crib.jpg,images/rhubarb.jpg,buffet
images/bulldozer.jpg,images/tractor.jpg,images/orange.jpg,images/eggplant.jpg,bulldozer
images/cake.jpg,images/dessert.jpg,images/refrigerator.jpg,images/battery.jpg,cake
images/candlestick.jpg,images/candle.jpg,images/egg.jpg,images/orangutan.jpg,candlestick
images/caramel.jpg,images/amber.jpg,images/olive.jpg,images/warthog.jpg,caramel
images/carousel.jpg,images/carriage.jpg,images/dish.jpg,images/melon.jpg,carousel
images/carrot.jpg,images/vegetable.jpg,images/phone.jpg,images/bathtub.jpg,carrot
images/cassette.jpg,images/tape.jpg,images/book.jpg,images/hammock.jpg,cassette
images/cheese.jpg,images/butter.jpg,images/mud.jpg,images/hippopotamus.jpg,cheese
images/cloak.jpg,images/hood.jpg,images/cinnamon.jpg,images/jellyfish.jpg,cloak
images/clothespin.jpg,images/toothpick.jpg,images/volleyball.jpg,images/fondue.jpg,clothespin
images/coaster.jpg,images/card.jpg,images/painting.jpg,images/hummingbird.jpg,coaster
images/cork.jpg,images/jersey.jpg,images/skateboard.jpg,images/mascara.jpg,cork
images/cornbread.jpg,images/corn.jpg,images/wreath.jpg,images/organ.jpg,cornbread
images/corset.jpg,images/harness.jpg,images/mantle.jpg,images/bonsai.jpg,corset
images/cymbal.jpg,images/mallet.jpg,images/kaleidoscope.jpg,images/ferry.jpg,cymbal
images/dumpling.jpg,images/meatball.jpg,images/rocket.jpg,images/coyote.jpg,dumpling
images/elbow.jpg,images/arm.jpg,images/bed.jpg,images/gorilla.jpg,elbow
images/fan.jpg,images/album.jpg,images/boulder.jpg,images/chipmunk.jpg,fan
images/flan.jpg,images/fuse.jpg,images/amplifier.jpg,images/turnstile.jpg,flan
images/foam.jpg,images/float.jpg,images/quilt.jpg,images/asparagus.jpg,foam
images/footbath.jpg,images/trough.jpg,images/vest.jpg,images/rhinoceros.jpg,footbath
images/fox.jpg,images/wolf.jpg,images/reindeer.jpg,images/harmonica.jpg,fox
images/freezer.jpg,images/cooler.jpg,images/nest.jpg,images/binoculars.jpg,freezer
images/fruitcake.jpg,images/fudge.jpg,images/dough.jpg,images/anvil.jpg,fruitcake
images/gondola.jpg,images/trolley.jpg,images/clipboard.jpg,images/charger.jpg,gondola
images/grate.jpg,images/crate.jpg,images/reel.jpg,images/tuba.jpg,grate
images/gutter.jpg,images/filter.jpg,images/almond.jpg,images/porthole.jpg,gutter
images/hamster.jpg,images/rabbit.jpg,images/tadpole.jpg,images/skirt.jpg,hamster
images/headdress.jpg,images/crown.jpg,images/poster.jpg,images/mango.jpg,headdress
images/hedgehog.jpg,images/owl.jpg,images/iguana.jpg,images/dumbwaiter.jpg,hedgehog
